slang,formal
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,dah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
loohhh,loh
yeee,ya
baguuuuus,bagus
ngikutin,mengikuti
bnk,bank
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,pengin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
jdi,jadi
lgi,lagi
gk,enggak
kek,kayak
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,banget
kereeen,keren
wihhhhhh,wih
bingitsss,banget
dmn,dimana
kaloo,kalau
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,pengin
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,pengin
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,banget
tuhh,tuh
berarto,berarti
aamiin,amin
amiiinn,amin
dgn,dengan
aminnnn2,amin-amin
amiiiin,amin
aminnn,amin
amiend,amien
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
ngomong,mengomong
inget,ingat
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,entar
bs,bisa
gini,begini
sampe,sampai
salfok,salah fokus
njir,anjir
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,enggak bisa
bhs,bahasa
yaaaaaa,ya
gak,enggak
bangshad,bangsat
stagahhhh,astaga
kpn,kapan
iooo,lo
dy,dia
mslh,masalah
qt,kita
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
bkin,bikin
dongg,dong
yokkk,yuk
yu,yuk
sweger,segar
bingiit,banget
kebukaaa,terbuka
yakk,ya
kayakk,kayak
asliii,asli
kyk,kayak
cntiknya,cantiknya
bat,banget
bet,banget
njerr,anjir
bingiiittttzzzz,banget
k,kak
klo,kalau
dooong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
pa,apa
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
yuuuk,yuk
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
gilaaaa,gila
lucuu,lucu
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
yank,sayang
ucul,lucu
yahh,ya
gw,gue
ngakak,mengakak
tpi,tapi
ntik,cantik
pny,punya
dapet,dapat
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
ma,sama
duluu,dulu
megang,memegang
liatin,memperlihatkan
ny,nya
d,di
ganteng2,ganteng-ganteng
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
gara2,gara-gara
garuk2,garuk-garuk
tembokk,tembok
namax,namanya
kiriii,kiri
bungkusin,bungkuskan
atu,satu
dehhhh,deh
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
ngapain,mengapai
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,banget
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
bngun,bangun
hiri,hari
benet,benar
bangetttt,banget
tuu,tuh
bner,benar
ktny,katanya
shbt,sahabat
skrg,sekarang
dimusiumin,dimuseumkan
ga,enggak
bntu,bantu
dlu,dulu
gda,enggak ada
udh,sudah
kangem,kangen
amiiin,amin
smua,semua
sdh,sudah
tnya,tanya
blm,belum
td,tadi
sblm,sebelum
bole,boleh
lahhh,lah
maap,maaf
cm,cuma
syg,sayang
kmrn,kemarin
wkt,waktu
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtkuu,menurutku
trs,terus
ikutin,mengikuti
jdwl,jadwal
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
jan,jangan
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
jga,juga
mimin,admin
istimewaaa,istimewa
blom,belum
kejawab,terjawab
yaaaa,ya
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
ikutin,ikuti
nyempetin,menyempatkan
wktunya,waktunya
namain,menamai
bls,balas
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
masing2,masih
sanggat,sangat
siipp,sip
laa,lah
smoga,semoga
mndaptkan,mendapatkan
iyah,iya
kakkk,kak
peengn,pengin
tuch,tuh
muantteepp,mantap
cpt,cepat
mrit,merit
y,ya
ngapasih,mengapa sih
ni,ini
segitunya,sebegitunya
fto,foto
pke,pakai
slamt,selamat
nantiii,nanti
ciyeeeeeee,cie
pantes,pantas
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
nyaaaa,nya
nyari,mencari
amiien,amien
terbaikkk,terbaik
ayahh,ayah
ae,saja
ndak,tidak
ngerti,mengerti
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyanyiin,menyanyikan
ahhh,ah
pgen,pengin
tempt,tempat
kh,kah
bgini,begini
brani,berani
km,kamu
jalan2,jalan-jalan
asyikkkkk,asyik
iriiiii,iri
naaaaahh,nah
makkk,mak
guee,gue
pengennn,pengin
gilzz,gila
nyaru,menyaru
gilaaa,gila
jd,jadi
kebarat2an,kebarat-baratan
ohh,oh
mantabs,mantap
jgan,jangan
mlu,malu
payahh,payah
ntaf,mantap
beneran,benaran
gada,enggak ada
milikin,memiliki
kamo,kamu
inih,ini
syantik,cantik
sukaaaa,suka
sukaaaaaa,suka
kirain,mengira
mehoonggggg,mahal
apikkkk,apik
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
yoiii,yoi
gituuu,begitu
iyaaa,iya
pgn,pengin
liptsk,lipstik
dr,dari
nyeplak,menjiplak
tauu,tau
skitar,sekitar
ktmu,ketemu
tmen,teman
ats,atas
donk,dong
kkak,kakak
sihhh,sih
cooocok,cocok
mrip,mirip
mama.nyy,mamanya
kmu,kamu
bukn,bukan
sey,sih
cantikkk,cantik
banger,banget
kaa,kak
eakyu,waktu
cntik,cantik
kakanya,kakaknya
doeloe,dulu
cantikkkk,cantik
bngtt,banget
iyak,iya
malh,malah
mlah,malah
ngak,enggak
brp,berapa
tnggl,tanggal
ky,kaya
sklinyaa,sekalinya
ayoo,ayo
w,gue
dramaa,drama
niiih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkkk,yuk
mw,mau
thu,tuh
kereen,keren
nama.a,namanya
kmauan,kemauan
ahhhh,ah
yuuuuk,yuk
dmana,dimana
disiniii,disini
cobaa,coba
bayangin,bayangkan
